,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,author_num,publisher_num
0,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,4.19,eng,374,71853,646,1167609660,HarperTrophy,2,1
1,First Comes Love (Hot Water  California #1),Christie Ridgway,3.81,en-US,384,1051,47,1009843260,Avon Books,1,1
2,When Santa Fell to Earth,Cornelia Funke/Paul   Howard/Oliver G. Latsch,3.76,eng,167,1840,245,1136074200,Chicken House / Scholastic,3,2
3,The Case of the Stinky Science Project (Jigsaw Jones  #9),James Preller/John Speirs/James Preller,3.83,en-US,80,162,11,978307380,Scholastic Paperbacks,3,1
4,Dance Dance Dance,Haruki Murakami,4.04,eng,393,50169,2117,1010361720,Vintage,1,1
5,The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,Wayne G. Hammond/Wayne G. Hammond,4.46,eng,1262,31,2,1136160660,Houghton Mifflin Harcourt,2,1
6,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,77,2,854409660,Association for Supervision & Curriculum Development,1,1
7,The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr  #7),Lawrence Block,3.89,en-US,400,2134,99,1138666200,HarperTorch,1,1
8,The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,Muriel Spark,3.79,eng,512,1477,90,1073347500,Random House,1,1
9,Desperation / The Regulators: Box Set,Stephen King/Richard Bachman,4.07,eng,1075,3231,72,820455000,Viking Adult,2,1
10,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,eng,448,10135,330,1138060920,Viking Books,1,1
11,Prime Time,Rachel Ryan/Sandra Brown,3.58,eng,256,2005,60,788918940,Grand Central Publishing,2,1
12,I Love Saturdays y domingos,Alma Flor Ada/Elivia Savadier,4.05,en-US,32,34,10,1072915740,Atheneum Books for Young Readers,2,1
13,Christmas in Noisy Village,Astrid Lindgren/Ilon Wikland/Florence Lamborn,4.18,en-US,32,830,41,349575000,Puffin Books,3,1
14,In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,4.1,eng,430,3958,172,1136073720,W. W. Norton & Company,1,1
15,The Wapshot Chronicle,John Cheever/Rick Moody,3.76,eng,352,6152,257,1041552360,Harper Perennial Modern Classics,2,1
16,The Gardens of Emily Dickinson,Judith Farr/Louise Carter,3.84,eng,350,54,13,1104538200,Harvard University Press,2,1
17,Gates of Fire,Steven Pressfield,4.42,eng,392,21934,1629,1106784540,Bantam,1,1
18,The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,4.09,en-US,118,97,10,410227560,Basic Books,1,1
19,Buenos Presagios: las buenas y ajustadas profecías de Agnes La Chalada,Terry Pratchett/Neil Gaiman,4.25,spa,318,104,14,1106611440,Norma Editorial,2,1
20,My Sister's Keeper,Mavis Applewater,3.86,eng,252,89,2,1073606580,Limitless Corporation,1,1
21,It Can't Happen Here,Sinclair Lewis/Michael R.  Meyer,3.77,eng,400,9031,1555,1104797400,NAL Trade,2,1
22,The English Novel: An Introduction,Terry Eagleton,3.77,eng,376,101,10,1073347680,Wiley-Blackwell,1,1
23,Not of Woman Born,Constance Ash/Nina Kiriki Hoffman/Patricia A. McKillip/Walter Jon Williams/Debra Doyle/James D. Macdonald/Kara Dalkey/Michael Armstrong/Richard Parks/Sage Walker/Susan Palwick/William F. Wu/Jack McDevitt/Janni Lee Simner/Robert Silverberg,3.82,eng,288,60,11,915148980,Roc,15,1
24,Call of the Moon,Ronda Thompson,3.74,eng,352,126,8,1230768060,Love Spell,1,1
25,Roger Zelazny's To Rule in Amber (The Dawn of Amber  #3),John Gregory Betancourt/Roger Zelazny,3.77,eng,310,753,13,1104538200,iBooks,2,1
26,The Discovery (Dive  #1),Gordon Korman,3.72,eng,141,1858,135,1041379560,Apple Paperbacks (Scholastic),1,1
27,The Rise of Christianity,Rodney Stark,4.04,eng,272,1363,151,852768300,HarperOne,1,1
28,A Stranger Came Ashore,Mollie Hunter/Lisa Falkenstern,3.82,eng,163,464,49,221357040,HarperCollins Publishers,2,1
29,Four Weddings and a Funeral,Richard Curtis,3.75,eng,128,47,4,821664240,St. Martin's Griffin,1,1
30,Mutants & Masterminds: RPG,Steve Kenson/Ramón Pérez,3.81,eng,253,305,8,1104538260,Green Ronin Publishing,2,1
