,y,prd_y
0,4.37,3.933130977696227
1,3.83,3.903481679127029
2,3.81,3.916686642418815
3,3.82,3.938834590171702
4,3.19,3.7678427463115116
5,3.63,3.6335520764292406
6,4.3,3.99360159206204
7,4.1,4.164968506705449
8,3.99,3.7212702646668845
9,4.17,4.029936484209552
10,3.86,3.9273167887201255
11,4.08,3.8913952392303055
12,3.84,3.8216349883047536
13,4.26,4.03715326965934
14,4.07,3.9348371221691782
15,3.86,3.9148298245494355
16,3.93,4.012173970969977
17,3.98,4.054049057578162
18,4.5,3.9359020108678684
19,3.73,3.7027117573037085
20,4.19,3.8443769281935425
21,3.73,3.84349635023599
22,3.48,3.8734110602091163
23,3.67,3.645116825527031
24,3.85,3.9174625221258297
25,4.19,4.054625054196734
26,3.62,3.709284576853229
27,3.64,3.8545310530852084
28,3.83,3.929587721295539
29,3.91,3.8435119865873717
30,3.82,3.950686569703431
31,3.44,3.871883152207275
32,4.06,3.9402199034066325
33,4.0,3.88623430283686
34,4.15,4.050503622447858
35,4.1,4.013359542901595
36,3.9,3.905395528212263
37,3.83,3.9639972593804313
38,4.13,4.138747280327841
39,4.24,3.954134524446563
40,4.17,3.915389472724159
41,3.84,3.8784617624739384
42,3.74,3.963086268167492
43,4.26,3.910609141725353
44,3.96,3.9591879498866995
45,3.97,3.9235040107083186
46,3.82,3.8589559971124934
47,3.91,4.001884871121533
48,3.52,3.8679200534596156
49,3.57,3.912662527068782
50,3.77,3.9748866681354715
51,4.04,3.904126079912556
52,4.24,3.983501489765621
53,4.38,4.255431816792994
54,3.96,3.9237288603387497
55,4.34,3.920010122352903
56,3.58,3.957552807362545
57,4.28,4.013679398935372
58,3.77,3.9906648796163684
59,3.43,3.945477648022542
60,3.56,3.9011798627260545
61,4.09,3.587131850077151
62,4.53,3.931473117590533
63,3.74,3.9236322816831835
64,3.86,3.965552049284329
65,3.83,3.882844030040298
66,4.24,3.98334364637994
67,4.13,4.091721880445428
68,4.36,4.139801970096553
69,3.71,3.9325524852473523
70,4.06,4.074710800694239
71,4.33,4.0368471346631445
72,3.97,3.923472794450477
73,3.76,3.841872333932464
74,3.81,3.766230836346556
75,3.71,4.077378907592127
76,3.83,3.876039598281261
77,3.91,3.8737133162167114
78,3.96,4.138931352687122
79,3.9,3.739926248489225
80,4.04,3.9217006959257064
81,4.76,4.545350359767033
82,4.28,4.18951321952998
83,3.85,3.874339039144099
84,4.13,3.8879502469912457
85,4.01,3.9198498500255927
86,3.69,3.781775534371804
87,4.25,3.7916227142445114
88,4.04,4.017862462200371
89,4.3,4.164262983335915
90,4.36,3.9219652499435953
91,4.21,3.9401375590283716
92,3.4,3.894862983026854
93,4.04,3.94198440472236
94,4.25,3.8956715245591345
95,3.43,3.906078224544508
96,4.37,3.954356515623964
97,4.11,3.9789106927935323
98,3.86,3.8109876073590034
99,4.24,4.082820747340435
100,3.55,3.588659036707759
